eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
119.57,6.28,108.74,4.21,2310,0.0072579174,0.095214844,2.2179902,-0.011723197,0.21354188,0.5972602963447571,92,23552,658.941289536655,1507328
118.49,5.65,106.37,4.53,2356,0.010727316,0.14680989,2.206296,-0.015266358,0.19146639,0.5711753368377686,93,23808,665.8963275291026,1523712
121.31,5.95,112.71,4.81,2312,0.007194921,0.09039307,2.1688392,-0.009705267,0.22651233,0.5343379378318787,94,24064,672.9825880154967,1540096
123.04,6.17,110.34,5.19,2361,0.007979565,0.10801188,2.215954,-0.015441001,0.19893987,0.5744921267032623,95,24320,679.9206785224378,1556480
127.87,6.58,120.51,5.33,2341,0.009985686,0.13665771,2.1526845,-0.01466303,0.1920714,0.6126412153244019,96,24576,686.9172140620649,1572864
125.89,6.41,117.92,5.07,2338,0.009090755,0.12225342,2.2005732,-0.01272549,0.213368,0.5752849578857422,97,24832,693.9256764501333,1589248
133.38,7.66,113.64,5.69,2238,0.008198735,0.10801188,2.1493685,-0.014219958,0.23270829,0.5794955193996429,98,25088,701.2467902675271,1605632
128.95,6.52,111.38,4.92,2359,0.010662407,0.15159099,2.195812,-0.014658876,0.1904065,0.6713489294052124,99,25344,708.193633697927,1622016
134.71,7.45,116.08,4.77,2289,0.009655547,0.12815349,2.0813186,-0.014245183,0.21877043,0.6322242021560669,100,25600,715.3524995706975,1638400
127.41,6.65,120.12,5.11,2312,0.011023569,0.15124512,2.0484612,-0.014350399,0.21373963,0.6740699708461761,101,25856,722.4402184672654,1654784
125.48,6.7,111.8,4.88,2328,0.009561472,0.12965901,2.1469054,-0.00898539,0.19707668,0.6875076293945312,102,26112,729.4794008471072,1671168
124.53,7.28,122.16,5.44,2327,0.010328708,0.13920085,2.0556748,-0.013454213,0.22192521,0.6899883449077606,103,26368,736.5191670879722,1687552
128.65,6.52,123.73,5.59,2294,0.010037098,0.13706462,2.1412137,-0.015595195,0.1727727,0.7767364978790283,104,26624,743.6606608629227,1703936
126.72,6.9,117.3,5.2,2296,0.009131509,0.12272135,2.2499495,-0.015458907,0.20502491,0.6727002263069153,105,26880,750.7953829839826,1720320
137.97,7.57,123.85,5.4,2227,0.012290505,0.17234294,2.1318302,-0.01226279,0.19098938,0.6761189997196198,106,27136,758.1516789086163,1736704
131.98,6.94,121.15,4.86,2285,0.010895968,0.14754231,2.0354552,-0.017094212,0.18361159,0.7888342887163162,107,27392,765.321567479521,1753088
129.89,7.25,119.68,5.69,2393,0.011584652,0.16033936,2.1135695,-0.01637731,0.19616757,0.6632150709629059,108,27648,772.1683041527867,1769472
114.17,5.98,107.99,4.72,2357,0.008480479,0.11102295,2.2239177,-0.008685636,0.2800242,0.5119174122810364,109,27904,779.1208131723106,1785856
126.11,6.43,109.57,4.66,2392,0.008426129,0.11478678,2.2186706,-0.015648829,0.17420988,0.7359564900398254,110,28160,785.9708332531154,1802240
126.97,6.76,116.09,4.75,2369,0.01166541,0.1640625,2.1388757,-0.017572628,0.16528678,0.745980829000473,111,28416,792.8863342702389,1818624
126.43,6.92,123.1,5.96,2405,0.009077782,0.12322998,2.2017787,-0.013805662,0.21439849,0.673678070306778,112,28672,799.700036354363,1835008
129.35,7.87,119.48,5.38,2288,0.011450696,0.15812175,2.0864573,-0.01835489,0.19759656,0.7167444825172424,113,28928,806.8598666936159,1851392
133.73,7.45,126.78,6.05,2411,0.008459096,0.1142985,2.1812553,-0.011201431,0.22613068,0.6638030707836151,114,29184,813.6563564762473,1867776
129.8,6.9,122.91,6.36,2389,0.0073603266,0.093180336,2.1059244,-0.010192986,0.21771114,0.6644041836261749,115,29440,820.5130239278078,1884160
126.13,6.81,113.86,5.25,2359,0.009897872,0.13555908,2.2018905,-0.018109675,0.19483536,0.7322160005569458,116,29696,827.4572208300233,1900544
126.05,6.99,120.76,5.37,2390,0.012595977,0.17753093,2.1225858,-0.011458701,0.25668585,0.680229127407074,117,29952,834.3124557174742,1916928
116.46,6.45,109.47,4.9,2384,0.009509966,0.12803142,2.1374335,-0.011695623,0.28365055,0.599128246307373,118,30208,841.1838063076138,1933312
129.98,7.27,113.64,5.13,2380,0.008499799,0.11503092,2.1889546,-0.0154681755,0.21871728,0.6808060705661774,119,30464,848.0674688071012,1949696
130.41,6.99,128.27,6.3,2336,0.01040124,0.14652507,2.1205094,-0.014936365,0.23357002,0.6285573244094849,120,30720,855.0807224549353,1966080
135.0,7.91,120.38,5.47,2374,0.010972626,0.15374756,2.1629596,-0.015002356,0.25159585,0.6494295299053192,121,30976,861.9825492165983,1982464
134.78,7.51,124.95,5.67,2389,0.008927447,0.12221273,2.15259,-0.014762037,0.22900419,0.6254825294017792,122,31232,868.8395551554859,1998848
139.61,7.86,136.04,6.63,2393,0.010576915,0.14463298,2.1209033,-0.018617777,0.22044356,0.6578087210655212,123,31488,875.684287507087,2015232
138.81,7.95,126.62,6.37,2393,0.011650283,0.16007487,2.0883403,-0.01768784,0.22265242,0.6483188569545746,124,31744,882.5310712531209,2031616
126.01,7.21,119.82,5.69,2401,0.00870821,0.11834717,2.1608355,-0.016340934,0.23034978,0.5994223654270172,125,32000,890.463545743376,2048000
141.74,7.39,123.6,5.95,2384,0.011595167,0.1609904,2.0786705,-0.01678407,0.19507343,0.6883052289485931,126,32256,897.336142078042,2064384
129.15,7.43,127.53,6.19,2309,0.0069621676,0.08748373,2.1542404,-0.01155516,0.23509246,0.6095453202724457,127,32512,904.4312834367156,2080768
131.76,7.12,121.28,5.99,2324,0.010845568,0.14772542,2.084995,-0.019728394,0.19990872,0.6531503796577454,128,32768,911.479316521436,2097152
139.7,8.05,114.65,5.32,2329,0.012165054,0.16715495,2.058369,-0.020231813,0.18286484,0.6968860030174255,129,33024,918.5142665095627,2113536
134.4,6.61,111.39,4.86,2344,0.010038811,0.14097087,2.1506968,-0.015759783,0.18803222,0.6908347606658936,130,33280,925.5030601769686,2129920
129.89,6.93,115.22,5.38,2407,0.010864474,0.14782715,2.111102,-0.019292347,0.189124,0.6585968136787415,131,33536,932.3081686682999,2146304
133.95,7.35,112.5,5.01,2406,0.010632428,0.14845784,2.0998435,-0.018234154,0.17846982,0.6739264726638794,132,33792,939.1167985759676,2162688
118.58,6.08,117.27,5.47,2367,0.008472329,0.114095055,2.2126057,-0.0069763847,0.3233188,0.41802263259887695,133,34048,946.0370738729835,2179072
119.7,6.64,114.12,4.66,2402,0.012545601,0.16392009,1.9331698,-0.014835796,0.22160555,0.6191928386688232,134,34304,952.8571183979511,2195456
136.36,6.95,116.09,5.37,2421,0.014581725,0.1893514,1.9670385,-0.020711342,0.20368697,0.672700971364975,135,34560,959.6249607801437,2211840
147.63,8.2,118.7,5.49,2404,0.010872082,0.15187581,1.9798212,-0.014106922,0.19634695,0.6949259638786316,136,34816,966.4391402825713,2228224
138.78,7.84,127.46,5.34,2371,0.012425176,0.1704305,2.0289798,-0.017397773,0.17684245,0.7352442741394043,137,35072,973.3490572050214,2244608
