eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
197.78,15.47,143.32,9.07,520,0.0253089,0.23811848,1.4901127,-0.034050487,0.30031794,0.8043739795684814,513,131328,15368.91723183915,8404992
207.97,16.48,140.41,8.18,540,0.021703372,0.21846516,1.5150439,-0.029697342,0.33714107,0.7700395584106445,514,131584,15399.210162222385,8421376
177.46,12.38,145.14,8.69,547,0.025748597,0.2458903,1.5077056,-0.036341853,0.28973195,0.8161625266075134,515,131840,15429.161482729018,8437760
203.55,15.11,137.07,8.09,555,0.021298153,0.22798665,1.4904457,-0.029008992,0.34151098,0.7662505656480789,516,132096,15458.666658081114,8454144
201.83,15.01,149.08,9.18,537,0.018767254,0.19429524,1.5177277,-0.031215012,0.31499943,0.7732032537460327,517,132352,15489.121352866292,8470528
205.05,15.3,154.96,10.28,566,0.02456928,0.24129231,1.4961499,-0.03357772,0.31679857,0.7972106039524078,518,132608,15518.06177777797,8486912
189.28,13.64,137.07,8.53,573,0.023958303,0.23297119,1.543182,-0.031051965,0.3065631,0.8052558898925781,519,132864,15546.612478341907,8503296
188.14,13.84,155.56,10.66,533,0.022612115,0.22074382,1.501535,-0.03182218,0.29624313,0.820219412446022,520,133120,15577.316049605608,8519680
193.18,15.47,154.96,10.47,563,0.02507021,0.2546997,1.5007137,-0.028799146,0.30969274,0.7971945106983185,521,133376,15606.373272243887,8536064
199.25,15.8,148.33,10.01,534,0.022705324,0.23411052,1.5281224,-0.03524941,0.3154973,0.8057564198970795,522,133632,15637.03860637173,8552448
202.99,16.11,164.35,11.0,545,0.020233916,0.22564697,1.5323453,-0.030840514,0.31851676,0.7991871237754822,523,133888,15667.067409910262,8568832
177.64,12.95,149.8,9.43,511,0.024479456,0.2446696,1.5242838,-0.0333217,0.27579477,0.8310756087303162,524,134144,15699.1257792674,8585216
188.41,14.87,148.01,9.59,552,0.01999855,0.2146403,1.5036936,-0.029023273,0.31990352,0.8127975016832352,525,134400,15728.795980263501,8601600
205.62,15.88,136.37,8.17,559,0.020835586,0.2257487,1.5508814,-0.031071683,0.30203143,0.7972929030656815,526,134656,15758.089541763067,8617984
195.2,14.71,154.26,8.9,535,0.016657025,0.19258626,1.5454575,-0.028190978,0.30725393,0.8101771473884583,527,134912,15788.685298331082,8634368
187.19,14.33,160.61,11.05,535,0.026470982,0.24702962,1.5618733,-0.03269527,0.2912522,0.8105934262275696,528,135168,15819.27572721988,8650752
212.51,15.85,143.08,8.52,556,0.017493505,0.19494629,1.58152,-0.03039627,0.3280462,0.8064942806959152,529,135424,15848.726086862385,8667136
188.62,14.21,145.14,8.68,574,0.01718057,0.19596355,1.5746446,-0.03195416,0.30066344,0.8108615726232529,530,135680,15877.222335461527,8683520
190.02,13.98,151.3,10.48,566,0.02456615,0.23539226,1.5842744,-0.032173473,0.2742394,0.8293047994375229,531,135936,15906.143086120486,8699904
191.05,13.86,146.14,9.81,538,0.018706817,0.19472249,1.5372318,-0.031950105,0.31006896,0.8334707915782928,532,136192,15936.589082170278,8716288
199.6,15.81,134.39,8.83,573,0.021566562,0.2218221,1.5084313,-0.031275515,0.3038269,0.80509914457798,533,136448,15965.155610781163,8732672
199.49,15.19,153.5,9.77,553,0.016920583,0.18452962,1.5502945,-0.029283864,0.3590803,0.7859365195035934,534,136704,15994.747345462441,8749056
